review_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Genre,Original Work,Review Author,Rating Category
 A Decisive Hamlet in a Post-colonial World,-0.28061093244568946,-0.13334398300827835,0.09341147342359542,0.03215137531267906,0.006042484421134651,-0.020255743820052637,0.06162186932815327,-0.10240364999884603,0.037116181918057746,0.024333756142190754,Tragedy,Hamlet,Yuko Kurahashi,Positive
"""As You Like It"" Amiable at the Folger",-0.36384611325118593,0.04500258779685134,-0.18026765839267694,0.1912197139337249,-0.22189862578890918,-0.20565429152140094,-0.27660674342084296,-0.05797661992249937,-0.11929051394090034,-0.0264410749319315,Comedy,As You Like It,Georgina Petronella,Positive
"""As You Like It"" As It Should Be",-0.37788394453013174,-0.023795072897498794,-0.060256046420949574,0.08693686339379844,-0.044664244503522604,0.016126434922823233,-0.05208166719038761,0.030545098765331083,-0.04062820058856726,0.13860390629711009,Comedy,As You Like It,Robert M. LoAlbo,Positive
80s Throwback is a Dream,-0.2923542870809429,0.21822633682232512,0.030935817372873514,-0.02213272947908361,0.02815498066793784,-0.05075111403704327,0.013131369028421196,-0.07577095958425797,0.0025530702742623057,-0.0011189176536786924,Comedy,Midsummer Night's Dream,Denise Battista,Positive
A Beautiful Bard Ballet,-0.22439987818314114,-0.0050302498074879,0.03176583819430571,0.13208532832375153,0.10865545609829719,0.0800919700312245,-0.030885647921328953,-0.006852115285403198,-0.10256707745607495,0.06499589256924712,Tragedy,Romeo & Juliet,Benjamin Alper,Positive
"A Bold, Inclusive Midsummer ",-0.30329915988242445,0.4051189514748369,0.16489398258905932,-0.09896976025152839,0.030519359041352993,0.016732953187953616,0.027401657138563778,0.005414246004365575,0.04040916034290953,-0.06846822892524328,Comedy,Midsummer Night's Dream,Diana Louise Carter,Positive
A Cultural Delight,-0.26275647806793534,0.20572615399900226,0.05433150412938881,0.03601358252685619,-0.011654773832982029,0.047465396010938396,-0.04192455864450796,-0.08950920660725123,-0.08326503714098844,-0.05798560364686223,Comedy,Midsummer Night's Dream,Melissa Crismon,Positive
"A Dark, Swift Othello in Austin",-0.28765009390420654,-0.07186446091890053,0.014491528475873205,0.10512761119515407,0.010158572241289748,-0.08703434457335886,0.1287047391137301,-0.16046468686032694,0.21011670572258687,-0.04905785046914607,Tragedy,Othello,Michael Meigs,Positive
A Delightful Night,-0.30069202899725705,0.42424036030199525,0.10690231832267659,-0.09743705909975799,-0.04065495278335449,-0.037016915008416404,-0.05592392467356347,0.004754632397119117,-0.03732048260450025,-0.04657541954019387,Comedy,Midsummer Night's Dream,Melissa Crismon,Positive
A Delightfully Terrifying Production of Macbeth,-0.3104696928282193,-0.11874093569659545,0.14960202183340543,-0.12468260842061944,-0.05321036230604932,-0.03247237651107317,-0.0012231545410399634,-0.03006326573890553,0.022763282461716546,0.12334129947913175,Tragedy,Macbeth,Benjamin Alper,Positive
"A Dream with Lovers, Fairies, Mechanicals, and Audience",-0.3003745449335006,0.35838197170399977,0.15787341021642456,-0.08953335918794132,0.03060758203685642,-0.021072297270022397,0.05638955840731421,-0.01722826193481314,0.10789106726894171,0.004547382413669383,Comedy,Midsummer Night's Dream,Eric Minton,Positive
"A Fair Show, a Less Fair ""Twelfth Night""",-0.3709979336094035,-0.06164559532838122,-0.2977211990936829,-0.1694737818798548,0.1288369959614077,-0.05072512537153624,-0.05119622544122481,-0.0036430697669037893,0.0050123344176753225,-0.07379139226790754,Comedy,Twelfth Night,J. A. Macfarlane,Negative
A Fast-paced MxBeth Filled with Beautiful Sounds and Fury,-0.3518293464140991,-0.1731926663912689,0.14723987316220657,-0.19980305956150435,-0.10229214029955608,-0.16673976062520807,0.08937798887211829,-0.07821145540834076,0.0629857091340483,0.0995836195997881,Tragedy,Macbeth,Diana Louise Carter,Positive
A Festival Dream of Good and Evil,-0.3073609839826864,0.03267583366934034,0.022151637030713545,0.06791407786461662,0.09529101046378269,-0.003951776038136507,0.010132638198573612,0.0006278443298705742,-0.02938428433688943,0.10457341881720154,Comedy,Midsummer Night's Dream,Claudine Nightingale,Positive
A Forest Translated into an Industrial Dream,-0.34092691132980263,0.40079677452451046,0.10055352976304774,-0.05282413512856548,-0.019949982521247547,-0.012341459502758398,-0.08416077449493446,-0.03356044902065687,0.019962213179450232,-0.015524227645659711,Comedy,Midsummer Night's Dream,Deirdre Yee,Positive
A Forest of Arden Grows in Brooklyn,-0.33051700868637696,0.02877472955769646,-0.07697067603927282,0.1331913785032513,-0.16165912101880667,-0.09663025901705372,-0.14072527607175955,-0.08992007784800651,-0.06396843984416002,-0.10479325509067415,Comedy,As You Like It,Roseanne Wells,Positive
A Fun and Faithful Rendition of As You Like It,-0.2960994082451354,0.07079944039523522,-0.17987072501315457,0.14667842785413016,-0.3186039059281041,-0.07495725378258943,-0.14016132387109112,-0.004403310080930352,-0.0380396189418656,0.05533035074465402,Comedy,As You Like It,Jennifer Kramer,Positive
A Happier Hamlet (?),-0.2443645184732409,-0.06546362486380954,0.030763135590875634,-0.011665949306840295,0.02256507786261873,-0.0011770234852729721,0.10050022370991157,-0.0770098341011219,0.07971200128532521,0.09873738003361701,Tragedy,Hamlet,Melissa Crismon,Positive
A Highly Enchanting Dream in Hi-Def,-0.2633288060076421,0.03289016645590333,0.11230243359349665,0.10188214230016658,0.23676007243338423,-0.12359149106924254,-0.260190943920043,0.14053393797892377,0.23764391818982258,-0.03699519371068206,Comedy,All's Well That Ends Well,Ron Severdia,Positive
A Hotspur'd Hamlet and a Powerbrokering Female Polonius,-0.3247910959303814,-0.06665817917015003,0.006939253788986459,0.10901544165293607,0.12104454262546613,-0.09180653847174705,0.13749398339092794,-0.16055985638574533,0.10667604061026877,0.04372907208188001,Tragedy,Hamlet,Michael Meigs,Negative
A Labour of Love not Lost in Translation,-0.253927093771564,-0.017970743557804016,-0.10336407801227879,0.10374068908333678,-0.04618639699834646,-0.006843530330159026,0.326612731211775,0.34728604623677045,-0.030901435874169013,-0.10313608350193237,Comedy,Love's Labour's Lost,Benjamin Alper,Positive
A Merry Transformation in the Forest,-0.35137177777488526,0.07319548357823409,-0.14214103811493864,0.19381820944833006,-0.2798513160873242,-0.17785910407788103,-0.1694495788235757,-0.05758169271011756,-0.0715097539606165,-0.03392204229203153,Comedy,As You Like It,Yuko Kurahashi,Positive
A Midsummer Children's Dream,-0.25168955281674593,0.12000251641993029,0.11186864025528767,-0.017947245951828627,0.10356088790907776,0.042674726866953706,0.022648306769632136,0.013341274091599969,-0.10293451315810331,0.025193561249188288,Comedy,Midsummer Night's Dream,Claudine Nightingale,Positive
A Midsummer Night at PSF’s Midsummer Night,-0.3513723200551155,0.2868583492012598,0.08673046118470845,-0.04471465829849175,-0.07963278217457893,0.12155952149731941,-0.03365423680364848,0.04377410146046157,0.022718719547610344,0.09502379722488205,Comedy,Midsummer Night's Dream,Jennifer Kramer,Positive
A Midsummer for All Ages,-0.27174794072365643,0.11199485752884214,0.03923855375415595,-0.06676056970120942,-0.01857843921536126,0.059973269757552086,-0.06323592940195702,0.0007397964018556127,0.05384121634371672,0.05408541837560034,Comedy,Midsummer Night's Dream,Tanya Gough,Negative
A Midsummer to Linga Over,-0.3382873043016802,0.04605882746651626,0.10167222016640115,0.04414288222272717,0.15691878823450747,0.028731525878107053,-0.0581744211558133,0.20856013365425685,-0.0007466694650968761,-0.03916820653111489,Comedy,Midsummer Night's Dream,Tanya Gough,Positive
A Mixed-Summer Night's Dream,-0.36280898433809033,0.2536390655321926,0.08031018407400664,0.0003711422328852162,0.09101218999658231,-0.01115376014269123,0.009363014035249799,-0.026996577081854545,-0.040557506242263,-0.03460570499620144,Comedy,Midsummer Night's Dream,Michael Kostroff,Negative
A Morally Ambiguous Othello,-0.31766592303384833,-0.0881295446545565,0.024289982854063967,0.060054768864735875,-0.059837574708315244,0.20406154316584796,-0.012381381877592624,-0.03364900717258801,0.020775359089030387,0.027493645113794492,Tragedy,Othello,Jennifer Kramer,Positive
"A Muscular, Articulate Julius Caesar in the Texas Hills",-0.29260430352808336,0.005643692402557864,-0.031169979588319133,0.11427000073277273,0.05121339898718888,-0.010153403805510684,0.12469575334335861,-0.17676647890762176,0.2519800127098037,-0.05794155154275969,Tragedy,Julius Caesar,Michael Meigs,Positive
A Noble Attempt at Bridging the Great Divide,-0.32124163793539867,-0.03245810267982256,0.04454556684711583,0.031288586694309554,0.048236255975361346,0.14452475442197832,-0.02809606938839232,-0.05572819227457443,-0.14596846804071545,0.020577919597680537,Tragedy,Romeo & Juliet,Denise Battista,Positive
"A Nobleman, A Commoner and A Royal Baby: Art Imitates Life",-0.26854011455373233,-0.00245174488180199,-0.03327586934315156,-0.04146287389225632,-0.027414656080911162,-0.02839853073680071,0.08692732252182316,-0.06301782309906223,0.04552250423685118,-0.0001588484370160007,Comedy,All's Well That Ends Well,Melissa Crismon,Positive
A Scottish King in an Asylum: The Old Globe’s Macbeth,-0.36370215305662346,-0.19295659581386845,0.17430958385152606,-0.13386170055017593,-0.21814574036524464,-0.03373182113090218,0.04825470749862104,-0.05313499563655421,-0.016697388710978846,-0.054949693807359694,Tragedy,Macbeth,Yuko Kurahashi,Negative
A Sea Breezy As You Like It,-0.33683094936030283,0.021875254112529607,-0.07080874717320068,0.06721237318632081,0.018649133497066456,-0.05509524255311896,-0.037499599428928033,-0.039413994334994776,-0.05311334586670059,0.07900636414548372,Comedy,As You Like It,Ina Rometsch,Negative
A Sylvan Setting for Love and Laughter,-0.22501949192902512,-0.013166822362895339,0.0011435869540889617,0.04817752567953469,-0.012498994632686822,0.026865397412207975,0.03996207198934472,-0.023561789543777894,-0.16811746395070257,-0.09204934309460576,Comedy,Love's Labour's Lost,Claudine Nightingale,Positive
A Transient Respite: Great Lakes As You Like It ,-0.3119135390840605,0.013376295334926402,-0.1356454373028765,0.1832594678651003,-0.3444711389344696,-0.17248164940837707,-0.2625167977055366,-0.039381369162882214,-0.040997992997594955,-0.05993899094820067,Comedy,As You Like It,Yuko Kurahashi,Positive
A Twelfth Night Stand You Won't Forget,-0.3215066835788599,-0.008257031876703388,-0.2396999113778769,-0.17052027055654104,0.09744980092190508,-0.0015587912090556464,0.02890008989570359,-0.06721962082769013,0.009690143257876385,-0.056618595090293454,Comedy,Twelfth Night,Nairi Najarian,Negative
A Twelfth Night for Today's Gender Bending Times,-0.30039882282386776,-0.011415874691450532,-0.2883491911945313,-0.1839425450985693,0.056633503862699816,0.01969430634397553,-0.011453069930821451,-0.014103248009188697,-0.05023685778081938,-0.03245609228104321,Comedy,Twelfth Night,Diana Louise Carter,Positive
A Very Like-able As You Like It ,-0.32250940888518614,0.06920440710356654,-0.16699630011498878,0.1263283058875405,-0.17738962757904447,-0.20713268982425992,-0.1798266034620851,-0.02415752127061868,-0.1197877240302202,-0.04043981096108438,Comedy,As You Like It,Diana Louise Carter,Positive
A Vivid Reflection on As You Like It,-0.291598834761653,0.05472600680378554,-0.12131811408476598,0.18469574513327447,-0.21472900423513558,-0.18347936877858728,-0.2364070637167653,-0.044073046086297925,-0.10268291470691829,-0.08558812987829528,Comedy,As You Like It,Melissa Crismon,Positive
